feature	std_effect	effect_mean_diff	p_value	p_adj_bh	direction
f2262	0.3795096533047593	8.320319522681529e-06	0.0001823073192714	0.0290559742412171	up
f26784	0.1460456056926792	7.425864874676336e-06	0.000181763801614	0.0290559742412171	up
f27421	0.16964834662458667	3.70275311252044e-05	0.0001826639005642	0.0290559742412171	up
f4887	0.1677743245042276	2.2224853819352575e-06	0.0001853657552913	0.0293433095139492	up
f25767	0.2030065890014426	2.022882948313054e-05	0.0001908768607608	0.0300704469875511	up
f9299	0.26143044031989554	7.458363851583272e-06	0.0001938602869781	0.0303943248023968	up
f4611	0.12133411129344811	2.2169152871356345e-06	0.0001948766073397	0.0304081746157501	up
f26615	0.2712855614047241	8.765527219657088e-05	0.0002045194771873	0.030607787691482	up
f21994	0.37484790014511604	6.446911720559001e-06	0.0002006955546099	0.030607787691482	up
f18264	0.3699996012765191	6.9790197921975054e-06	0.0001981391136027	0.030607787691482	up
f10604	0.08339339455446247	1.1142814328195527e-06	0.000200751879917	0.030607787691482	up
f17890	-0.06707523740062346	-2.859319902199786e-06	0.000202886841861	0.030607787691482	down
f1600	0.23176430065866535	7.78371215928928e-05	0.0002024998571279	0.030607787691482	up
f1212	0.24765968591464146	3.971226804424078e-06	0.0002045625459116	0.030607787691482	up
f52	0.28948180581118094	4.075035962159745e-06	0.0002039730702917	0.030607787691482	up
f3106	0.18541199038352418	2.550709190472844e-06	0.0002043146011747	0.030607787691482	up
f18612	0.06898053201242664	2.8159801513538697e-07	0.0002069367541706	0.0308222889121132	up
f24408	0.07830879316371211	0.0001368323441711	0.0002097798106377	0.0311043657691277	up
f16066	0.18227191640229634	6.792183084326097e-05	0.0002109820482623	0.0311417106191976	up
f14204	0.13752869275497934	4.380584439786617e-06	0.0002195445993649	0.0319734996977409	up
f27679	0.15083213155973252	1.4052140682906612e-05	0.0002190194115024	0.0319734996977409	up
f30448	0.247805161086039	1.3092922134092078e-05	0.000218286558035	0.0319734996977409	up
f2823	0.1891125629579525	2.328832839157258e-05	0.0002321869566339	0.0332240270523171	up
f4732	0.34943489302971964	5.968095865682699e-06	0.0002312937946353	0.0332240270523171	up
f15554	0.14529518924727713	6.618446551328816e-06	0.0002310361091176	0.0332240270523171	up
f18186	0.2147983224591675	1.6474098429171137e-05	0.0002308312417781	0.0332240270523171	up
f24080	0.21574302102287263	2.4996736010507447e-06	0.0002350451051107	0.033486773931603	up
f17739	0.17030047148578184	4.804599744602456e-06	0.0002393426665204	0.0336600021310864	up
f31044	0.21299756540845888	0.0007158523362013	0.000238546474061	0.0336600021310864	up
f5907	0.17472097549201643	3.2217096801105075e-05	0.0002388565835676	0.0336600021310864	up
f3180	0.22491017080397313	1.552354088926222e-05	0.0002449360841952	0.0342297008294677	up
f3456	0.17927477193885183	9.873614781099604e-06	0.0002454827787757	0.0342297008294677	up
f16150	0.23414271308756948	1.2251200482751304e-05	0.0002497885767112	0.0346825088206517	up
f2308	0.11767290211188051	0.0001195575596284	0.0002546910403558	0.0347738167099202	up
f3518	0.13954538810213546	2.2676673557725733e-05	0.0002545177397369	0.0347738167099202	up
f3535	0.18617601019929605	1.3707297508517512e-05	0.0002537675832344	0.0347738167099202	up
f11240	0.11099922440647006	3.808366684097564e-05	0.0002524398765806	0.0347738167099202	up
f28878	0.3211963740812995	5.39867931365734e-06	0.0002571892235413	0.0347891773498549	up
f5354	0.15259931205398955	3.7320967385312545e-06	0.0002579885893559	0.0347891773498549	up
f12545	0.2827185043679408	7.737874270424072e-05	0.0002575832665512	0.0347891773498549	up
f22657	0.19554559706713198	1.5721455147286177e-05	0.0002685700716664	0.0349273821296831	up
f29294	0.1956355297542651	5.084829550469294e-06	0.0002649413431061	0.0349273821296831	up
f28542	0.4023354797997893	4.037830018205568e-06	0.0002695227400126	0.0349273821296831	up
f23240	0.17023646109670085	6.338533237430965e-05	0.0002718042737753	0.0349273821296831	up
f22869	0.3333324158563864	3.510116221150383e-06	0.0002639737630358	0.0349273821296831	up
f19980	0.18727278916896825	3.585874175769277e-06	0.0002714268247559	0.0349273821296831	up
f12584	0.21846406903627438	6.828166275590775e-05	0.0002609210476508	0.0349273821296831	up
f16934	0.31435658424043983	9.694927293458022e-05	0.0002671835756802	0.0349273821296831	up
f9602	0.13980872563224164	2.4039992968027947e-06	0.0002661524064077	0.0349273821296831	up
f8172	0.1966147277526615	1.0677650054276456e-05	0.0002675584501723	0.0349273821296831	up
f6103	0.187022747588324	5.775775742222322e-06	0.0002692439994233	0.0349273821296831	up
f21465	0.25918996907685404	3.218558671505889e-06	0.0002712932116118	0.0349273821296831	up
f912	-0.06504592629565085	-1.0133459669305011e-05	0.0002775816728476	0.0351422775768721	down
f13985	0.26451934494978685	0.0001418282637459	0.0002762128310266	0.0351422775768721	up
f19565	0.15711044980957456	2.8605070008779876e-05	0.0002777664151736	0.0351422775768721	up
f31380	0.16065383440195097	5.747254159359727e-06	0.0002756803335827	0.0351422775768721	up
