feature	feature_idx	spearman_af	p	q
f29168	29168	0.19460072017846858	2.1127116098254124e-07	3.06324486861766e-05
f29931	29931	0.19460072017846858	2.1127116098254124e-07	3.06324486861766e-05
f30696	30696	0.19460072017846858	2.1127116098254124e-07	3.06324486861766e-05
f31628	31628	0.19460072017846858	2.1127116098254124e-07	3.06324486861766e-05
f32567	32567	0.19460072017846858	2.1127116098254124e-07	3.06324486861766e-05
f12059	12059	-0.19464915336963004	2.0978244902931418e-07	3.06324486861766e-05
f5056	5056	-0.19466893090241083	2.0917745170435476e-07	3.06324486861766e-05
f21529	21529	-0.19476468446247314	2.062720513803722e-07	3.06324486861766e-05
f12436	12436	-0.19455740457359674	2.1261119694613857e-07	3.0690941416436423e-05
f11122	11122	0.1941282818340098	2.2633728362632808e-07	3.2235791892864175e-05
f30723	30723	0.19410943335457614	2.2695936061893483e-07	3.2235791892864175e-05
f2249	2249	0.19410069966430785	2.2724816672520827e-07	3.2235791892864175e-05
f14430	14430	-0.19412676117081307	2.2638741071132575e-07	3.2235791892864175e-05
f15287	15287	-0.1940044864641541	2.3045329324783026e-07	3.254954100493492e-05
f19268	19268	0.1938892303811339	2.3435018655824915e-07	3.2957883747385015e-05
f14777	14777	0.19381867013896606	2.3676714934849538e-07	3.301440829724041e-05
f891	891	-0.1938421641332591	2.3595973224281397e-07	3.301440829724041e-05
f15275	15275	0.1937213276452458	2.4014098563826336e-07	3.334296532794328e-05
f31893	31893	0.1934623405860848	2.4934455217729747e-07	3.4382420810784754e-05
f24642	24642	-0.19345181122375693	2.497258347463004e-07	3.4382420810784754e-05
f29284	29284	0.19316282489467954	2.6041255467003407e-07	3.570375979676852e-05
f31859	31859	-0.19311970544790533	2.620444307388958e-07	3.577779961021724e-05
f3472	3472	-0.1922140640095285	2.986861298993292e-07	4.061139877402996e-05
f3695	3695	-0.19212131050491224	3.0270613671495166e-07	4.098791193336998e-05
f21110	21110	-0.19196925291485925	3.09409451363539e-07	4.172316420691542e-05
f8139	8139	0.19177576532534393	3.181461575278187e-07	4.272546430275231e-05
f23874	23874	-0.19140576430459458	3.3551944866065884e-07	4.4874699158010076e-05
f32451	32451	0.1913154816688966	3.3989534932911786e-07	4.513087978110632e-05
f20017	20017	0.19130945443648814	3.401894319437641e-07	4.513087978110632e-05
f29860	29860	0.19125742211475721	3.427384203860257e-07	4.5285695803263264e-05
f22742	22742	-0.19103804132509888	3.5368931507059685e-07	4.6544945687684005e-05
f10430	10430	0.19084758795099227	3.6346883063036923e-07	4.7640586568383754e-05
f3113	3113	0.19075841747966274	3.6813662604065764e-07	4.80601631956186e-05
f15343	15343	0.1903920087207003	3.879301540350462e-07	5.02438548909897e-05
f24987	24987	-0.19040242350960487	3.873536553342366e-07	5.02438548909897e-05
f8042	8042	-0.19035975813180234	3.8972059349489356e-07	5.0277025226931783e-05
f19612	19612	-0.1902491657377515	3.9592091979632226e-07	5.067787773392925e-05
f4945	4945	-0.19026940960472608	3.9477889705220107e-07	5.067787773392925e-05
f11196	11196	0.18989109667375922	4.166543267704454e-07	5.291832937834866e-05
f3923	3923	-0.18991422078466494	4.152843766098424e-07	5.291832937834866e-05
f312	312	-0.18983501059694635	4.1999515252512013e-07	5.293231214593514e-05
f3770	3770	-0.18984959293971784	4.1912406756297515e-07	5.293231214593514e-05
f18502	18502	-0.1897997401990229	4.22109262830069e-07	5.299492844603717e-05
f14772	14772	-0.18966828784697393	4.300791358328212e-07	5.378943940064842e-05
f2469	2469	-0.18945657072275965	4.4322081878157696e-07	5.5222280569713744e-05
f13957	13957	0.1892675502669826	4.5527958540411896e-07	5.6509853994402156e-05
f17418	17418	-0.18883096211597633	4.843512427071869e-07	5.989140196614755e-05
f26438	26438	-0.18871364505043645	4.924627524377956e-07	6.066548673639731e-05
f21307	21307	0.18860988085618272	4.997460074328721e-07	6.133212423805377e-05
f473	473	0.1884493061542617	5.112215266251855e-07	6.229557152529138e-05
f27849	27849	0.18844685592131313	5.113985821625788e-07	6.229557152529138e-05
f24519	24519	-0.1880634358104991	5.398440065096857e-07	6.551706816781253e-05
f24907	24907	0.18783415044650642	5.575753204317657e-07	6.741929188157971e-05
f72	72	-0.18772412159421648	5.662818438038454e-07	6.82203068300162e-05
f15242	15242	0.18768584411116346	5.693412701689845e-07	6.833763641354317e-05
f14511	14511	-0.1876112914562822	5.753457895161719e-07	6.880631690097052e-05
f369	369	-0.1875223187593122	5.825914566519827e-07	6.941947946026243e-05
f7796	7796	-0.18742794347595929	5.903730015548189e-07	7.009182070633444e-05
f2651	2651	0.18733375334991093	5.982389094538526e-07	7.076928731041098e-05
f14979	14979	-0.1872512502996392	6.05211553644886e-07	7.133659061091951e-05
f15538	15538	0.18707773082523876	6.201323102487517e-07	7.2833317355667e-05
f14120	14120	-0.18704462540487868	6.230189178686122e-07	7.291101393113815e-05
f12043	12043	0.1869365884443042	6.325293112915144e-07	7.34990087673771e-05
f29832	29832	-0.18694820906042556	6.314996964921224e-07	7.34990087673771e-05
f28962	28962	-0.18682841156662253	6.421918303361388e-07	7.409627428329083e-05
f20703	20703	-0.1868352985095659	6.415724709672503e-07	7.409627428329083e-05
f25801	25801	0.18667011981646622	6.565869083018248e-07	7.547547157660024e-05
